Batch_Name,DATE,COUNTS
Batch30,6/23/2020,176
Batch30,6/24/2020,192
Batch30,6/25/2020,192
Batch30,6/26/2020,192
Batch30,6/27/2020,192
Batch30,6/28/2020,192
Batch30,6/29/2020,192
Batch30,6/30/2020,192
Batch30,7/1/2020,167
Batch30,7/2/2020,189
Batch30,7/3/2020,189
Batch30,7/4/2020,192
Batch30,7/5/2020,192
Batch30,7/6/2020,192
Batch30,7/7/2020,186
Batch30,7/8/2020,192
Batch30,7/9/2020,178
Batch30,7/10/2020,184
Batch30,7/11/2020,192
Batch30,7/12/2020,165
Batch30,7/13/2020,192
Batch30,7/14/2020,192
Batch30,7/15/2020,192
Batch30,7/16/2020,192
Batch30,7/17/2020,192
Batch30,7/18/2020,192
Batch30,7/19/2020,184
Batch30,7/20/2020,189
Batch30,7/21/2020,101
Batch31,5/22/2020,15
Batch31,5/23/2020,15
Batch31,5/24/2020,15
Batch31,5/25/2020,15
Batch31,5/26/2020,15
Batch31,5/27/2020,15
Batch31,5/28/2020,15
Batch31,5/29/2020,15
Batch31,5/30/2020,15
Batch31,5/31/2020,15
Batch31,6/1/2020,15
Batch31,6/2/2020,15
Batch31,6/3/2020,15
Batch31,6/4/2020,15
Batch31,6/5/2020,15
Batch31,6/6/2020,15
Batch31,6/7/2020,15
Batch31,6/8/2020,15
Batch31,6/9/2020,15
Batch31,6/10/2020,15
Batch31,6/11/2020,15
Batch31,6/12/2020,15
Batch31,6/13/2020,15
Batch31,6/14/2020,15
Batch31,6/15/2020,15
Batch31,6/16/2020,15
Batch31,6/17/2020,15
Batch31,6/18/2020,15
Batch31,6/19/2020,15
Batch31,6/20/2020,15
Batch31,6/21/2020,15
Batch31,6/22/2020,15
Batch31,6/23/2020,15
Batch31,6/24/2020,15
Batch31,6/25/2020,15
Batch31,6/26/2020,15
Batch31,6/27/2020,15
Batch31,6/28/2020,15
Batch31,6/29/2020,15
Batch31,6/30/2020,15
Batch31,7/1/2020,15
Batch31,7/2/2020,15
Batch31,7/3/2020,15
Batch31,7/4/2020,15
Batch31,7/5/2020,15
Batch31,7/6/2020,15
Batch31,7/7/2020,15
Batch31,7/8/2020,15
Batch31,7/9/2020,15
Batch31,7/10/2020,15
Batch31,7/11/2020,15
Batch31,7/12/2020,15
Batch31,7/13/2020,15
Batch31,7/14/2020,15
Batch31,7/15/2020,15
Batch31,7/16/2020,15
Batch31,7/17/2020,15
Batch31,7/18/2020,15
Batch31,7/19/2020,15
Batch31,7/20/2020,15
Batch31,7/21/2020,15
Batch32,5/22/2020,16
Batch32,5/23/2020,16
Batch32,5/24/2020,16
Batch32,5/25/2020,16
Batch32,5/26/2020,16
Batch32,5/27/2020,17
Batch32,5/28/2020,17
Batch32,5/29/2020,17
Batch32,5/30/2020,17
Batch32,5/31/2020,17
Batch32,6/1/2020,17
Batch32,6/2/2020,17
Batch32,6/3/2020,17
Batch32,6/4/2020,17
Batch32,6/5/2020,17
Batch32,6/6/2020,17
Batch32,6/7/2020,17
Batch32,6/8/2020,17
Batch32,6/9/2020,17
Batch32,6/10/2020,17
Batch32,6/11/2020,17
Batch32,6/12/2020,17
Batch32,6/13/2020,17
Batch32,6/14/2020,17
Batch32,6/15/2020,17
Batch32,6/16/2020,17
Batch32,6/17/2020,17
Batch32,6/18/2020,17
Batch32,6/19/2020,17
Batch32,6/20/2020,17
Batch32,6/21/2020,17
Batch32,6/22/2020,17
Batch32,6/23/2020,17
Batch32,6/24/2020,17
Batch32,6/25/2020,17
Batch32,6/26/2020,17
Batch32,6/27/2020,17
Batch32,6/28/2020,17
Batch32,6/29/2020,17
Batch32,6/30/2020,17
Batch32,7/1/2020,17
Batch32,7/2/2020,17
Batch32,7/3/2020,17
Batch32,7/4/2020,17
Batch32,7/5/2020,17
Batch32,7/6/2020,17
Batch32,7/7/2020,17
Batch32,7/8/2020,17
Batch32,7/9/2020,17
Batch32,7/10/2020,17
Batch32,7/11/2020,17
Batch32,7/12/2020,17
Batch32,7/13/2020,17
Batch32,7/14/2020,17
Batch32,7/15/2020,17
Batch32,7/16/2020,17
Batch32,7/17/2020,17
Batch32,7/18/2020,17
Batch32,7/19/2020,17
Batch32,7/20/2020,17
Batch32,7/21/2020,17
Batch33,5/22/2020,66
Batch33,5/23/2020,66
Batch33,5/24/2020,66
Batch33,5/25/2020,66
Batch33,5/26/2020,66
Batch33,5/27/2020,66
Batch33,5/28/2020,66
Batch33,5/29/2020,66
Batch33,5/30/2020,66
Batch33,5/31/2020,66
Batch33,6/1/2020,66
Batch33,6/2/2020,66
Batch33,6/3/2020,66
Batch33,6/4/2020,66
Batch33,6/5/2020,66
Batch33,6/6/2020,66
Batch33,6/7/2020,66
Batch33,6/8/2020,66
Batch33,6/9/2020,66
Batch33,6/10/2020,66
Batch33,6/11/2020,66
Batch33,6/12/2020,66
Batch33,6/13/2020,66
Batch33,6/14/2020,66
Batch33,6/15/2020,66
Batch33,6/16/2020,13
Batch33,6/17/2020,66
Batch33,6/18/2020,66
Batch33,6/19/2020,66
Batch33,6/20/2020,66
Batch33,6/21/2020,66
Batch33,6/22/2020,66
Batch33,6/23/2020,66
Batch33,6/24/2020,66
Batch33,6/25/2020,66
Batch33,6/26/2020,66
Batch33,6/27/2020,66
Batch33,6/28/2020,66
Batch33,6/29/2020,66
Batch33,6/30/2020,66
Batch33,7/1/2020,66
Batch33,7/2/2020,66
Batch33,7/3/2020,66
Batch33,7/4/2020,66
Batch33,7/5/2020,66
Batch33,7/6/2020,66
Batch33,7/7/2020,66
Batch33,7/8/2020,66
Batch33,7/9/2020,66
